"idcrid","inputlhs","inputrhs"
"IDCR01","(name=""Chana P Wendell"")and(place=""BMcirwnt,aoanhoc"")and(email=""NULL"")","(phone=""7557788850"")"
"IDCR02","((name=""Jewell T Desroches"")or(email=""jewell.desroches@apple.com""))and(phone=""NULL"")","(empid=""726568"")"
"IDCR03","(name=""Velma Y Figueiredo"")and(phone=""490493379"")and(empid=""NULL"")","(dateofbirth=""2-10-69"")"
"IDCR04","(name=""Garret E Mcgrew"")and(empid=""NULL"")and(email=""NULL"")","(phone=""6307621882"")"
"IDCR05","(name=""Karrie K Gamino"")and(dateofbirth=""NULL"")and(salary=""NULL"")","(place=""Laglroait,nDdiyn"")"
"IDCR06","(name=""Dione K Whitesel"")and(salary=""107837"")and(place=""NULL"")","(email=""dionekw@yahoo.com"")"
"IDCR07","(name=""Maynard B Rush"")and(salary=""NULL"")and(email=""maynard.rush@yahoo.com"")","(place=""SRee,contk"")"
"IDCR08","(name=""Norah C Dendy"")and(dateofbirth=""28-10-68"")and(place=""NULL"")","(salary=""72482"")"
"IDCR09","(name=""Felipe Z Angulo"")and(empid=""NULL"")","(email=""felipe.angulo@ntlworld.com"")"
"IDCR10","(name=""Millicent L Milford"")and(dateofbirth=""20-10-86"")","(empid=""913954"")"
"IDCR11","(name=""Carl Z Carrion"")and(email=""NULL"")and(empid=""NULL"")","(phone=""980368212"")"
"IDCR12","(name=""Dennis H Pafford"")and(place=""NULL"")and(phone=""7532238850"")","(email=""dennis.pafford@hotmail.com"")"
"IDCR13","(email=""yuri.teter@yahoo.com"")and(phone=""231-653-8548"")and(name=""Yuri J Teter"")","(place=""Flint,Genesee"")"
"IDCR14","(email=""julio.gossard@ntlworld.com"")and(empid=""227022"")and(dateofbirth=""20-10-64"")","(name=""Julio W Gossard"")"
"IDCR15","(email=""NULL"")and(dateofbirth=""31-07-69"")and(name=""Hilton T Mccann"")","(place=""NULL"")"
"IDCR16","(name=""Young F Hou"")and(email=""young.hou@ntlworld.com"")","(place=""D,etwreoexlCy"")"
"IDCR17","(name=""Tonja S Orenstein"")and(place=""Madison Heights,Oakland"")","(email=""tonja.orenstein@apple.com"")"
"IDCR18","(name=""Marshall E Truluck"")and(empid=""676883"")and(salary=""102750"")","(dateofbirth=""12-04-67"")"
"IDCR19","(place=""Greenleaf,Brown"")and(dateofbirth=""28-11-90"")","(empid=""196921"")"
"IDCR20","(email=""tashia.gamble@cox.net"")and(empid=""753865"")","(dateofbirth=""12-07-84"")"
"IDCR21","(name=""Anderson D Garth"")and(dateofbirth=""14-02-63"")","(salary=""86517"")"
"IDCR22","(dateofbirth=""14-02-63"")and(phone=""6155053423"")","(email=""anderson.garth@hotmail.com"")"
"IDCR23","(empid=""454812"")and(name=""Lydia F Hermanson"")","(dateofbirth=""03-01-79"")"
"IDCR24","(empid=""844994"")and(dateofbirth=""21-07-96"")","(place=""Cleveland,Stutsman"")"
"IDCR25","((name=""Eldon R Kuykendall"")and(place=""Potrero,San Diego"")and(phone=""209-260-3234"")and(empid=""983792""))or((salary=""43657"")and(dateofbirth=""18-07-61""))","(email=""eldon.kuykendall@ntlworld.com"")"
"IDCR26","(email=""antonio.case@yahoo.com"")and(name=""Antonio O Case"")and(salary=""66812"")","(dateofbirth=""16-11-77"")"
"IDCR27","((name=""Elvis U Karg"")and(empid=""442134""))or((phone=""605-381-0955"")and(dateofbirth=""19-02-65""))","(salary=""72516"")"
"IDCR28","((name=""Clement H Aultman"")or(phone=""212-850-1472""))and(empid=""143211"")","(place=""Bakers Mills,Warren"")"
"IDCR29","((name=""Paula C Hallam"")and(dateofbirth=""29-10-80""))or((salary=""181802"")and(phone=""209-308-4667""))","(empid=""432619"")"
"IDCR30","(name=""Seymour C Mcalpin"")and(place=""Spokane,Spokane"")","(phone=""206-206-3566"")"
