"qid","query"
"Q01","(name=""Micah O Herlihy"")and(place=""Abingdon,Washington"")"
"Q02","(name=""Lesley C Bessler"")and(place=""Stockton,Tooele"")"
"Q03","(name=""Brady H Simonetti"")and(empid=""205441"")and(dateofbirth=""08-10-72"")"
"Q04","((empid=""NULL"")and(place=""Adams Center,Jefferson"")and(name=""Apryl S Hargis""))or(email=""NULL"")"
"Q05","((name=""Hildegard J Salcedo"")and(place=""Addison,Washington"")and(phone=""207-746-0970""))or(empid=""172785"")"
"Q06","(name=""Riley R Gosser"")and(dateofbirth=""NULL"")and(empid=""897979"")"
"Q07","((name=""Elene E Cranmer"")and(phone=""216-806-3451"")and(dateofbirth=""16-02-93""))or(salary=""199468"")"
"Q08","((name=""Rene H Kautz"")and(dateofbirth=""23-12-62""))or((email=""rene.kautz@hotmail.com"")and(place=""Alabama,Genesee""))"
"Q09","((name=""Deidre X Propst"")or(salary=""87916"")or(dateofbirth=""07-10-80"")or(place=""Sioux Falls,Minnehaha"")or(empid=""533441""))and(phone=""605-883-3692"")"
"Q10","((dateofbirth=""26-06-74"")or(salary=""51255""))and(empid=""709815"")"
"Q11","(name=""Raquel N Fisher"")and(email=""raquel.fisher@aol.com"")"
"Q12","((name=""Latricia R Puglisi"")and(empid=""946809"")and(place=""Apache Junction,Pinal""))or(email=""latricia.puglisi@bellsouth.net"")"
"Q13","((name=""Britt G Morrone"")or(phone=""215-374-2595"")or(dateofbirth=""30-01-93""))or((place=""Aristes,Columbia"")and(empid=""303835""))"
"Q14","((name=""Shirlene S Sipos"")and(empid=""362169""))or((email=""shirlene.sipos@shell.com"")and(dateofbirth=""25-06-77""))"
"Q15","(name=""Merrill J Hutchins"")and(place=""A,rDetslanwaoe"")and(phone=""5618558926"")"
"Q16","(place=""Atlanta,Fulton"")and(empid=""828832"")"
"Q17","(dateofbirth=""20-11-68"")and(place=""Atlanta,Fulton"")and(salary=""130190"")"
"Q18","((email=""manual.odell@gmail.com"")and(salary=""157748""))or((phone=""206-721-2629"")and(name=""Manual Q Odell""))"
"Q19","(salary=""93847"")or((empid=""775537"")and(name=""Billy A Landis""))or(dateofbirth=""13-09-65"")"
"Q20","(empid=""159377"")or((place=""Austin,Austin"")and(dateofbirth=""21-05-72"") and(name=""Irvin D Boggs""))"
"Q21","(phone=""209-880-1737"")and(place=""Bakersfield,Kern"")"
"Q22","((place=""Bedford,Taylor"")or(dateofbirth=""16-05-68""))or((email=""amanda.hammel@bp.com"")and(name=""Amanda P Hammel""))or(empid=""535770"")"
"Q23","(name=""Edward W Ried"")and(salary=""193975"")and(empid=""902222"")"
"Q24","(salary=""47300"")and(empid=""454767"")"
"Q25","(email=""aura.daughtrey@gmail.com"")and(empid=""693534"")and(salary=""172954"")"
